Fecha,Acumuladas,Amazonas,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,Norte de Santander,Putumayo,Quindio,Risaralda,San Andres,Santander,Sucre,Tolima,Valle del Cauca,Vaupes,Vichada,Procedencia desconocida
Acumulado Feb,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05T00:00:00.000,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06T00:00:00.000,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07T00:00:00.000,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08T00:00:00.000,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09T00:00:00.000,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10T00:00:00.000,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11T00:00:00.000,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12T00:00:00.000,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13T00:00:00.000,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14T00:00:00.000,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15T00:00:00.000,3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16T00:00:00.000,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17T00:00:00.000,3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18T00:00:00.000,4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19T00:00:00.000,5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20T00:00:00.000,5766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21T00:00:00.000,6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22T00:00:00.000,6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23T00:00:00.000,7285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24T00:00:00.000,8051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25T00:00:00.000,8797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26T00:00:00.000,9228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27T00:00:00.000,9486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28T00:00:00.000,10851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29T00:00:00.000,12325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30T00:00:00.000,13816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31T00:00:00.000,17863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01T00:00:00.000,20253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02T00:00:00.000,21412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03T00:00:00.000,22752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04T00:00:00.000,23989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05T00:00:00.000,25547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06T00:00:00.000,27968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07T00:00:00.000,30728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08T00:00:00.000,33858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09T00:00:00.000,35193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10T00:00:00.000,37876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11T00:00:00.000,40618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12T00:00:00.000,41780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13T00:00:00.000,43036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14T00:00:00.000,45351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15T00:00:00.000,48556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16T00:00:00.000,52013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17T00:00:00.000,55501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18T00:00:00.000,58930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19T00:00:00.000,62674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20T00:00:00.000,65097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21T00:00:00.000,68356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22T00:00:00.000,71407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23T00:00:00.000,74864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24T00:00:00.000,77985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25T00:00:00.000,81053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26T00:00:00.000,87106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27T00:00:00.000,90899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28T00:00:00.000,95085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29T00:00:00.000,100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30T00:00:00.000,104657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01T00:00:00.000,108950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02T00:00:00.000,114602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03T00:00:00.000,118801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04T00:00:00.000,123029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05T00:00:00.000,127105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06T00:00:00.000,131110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07T00:00:00.000,135352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08T00:00:00.000,139739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-09T00:00:00.000,144912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10T00:00:00.000,151396,1457,21161,591,8100,46276,5586,2022,3051,481,766,1878,1749,690,2631,3749,6,749,156,3679,4314,4403,2545,3578,121,1491,4253,250,3613,591,2219,16447,44,5,2744
2020-05-11T00:00:00.000,158933,1799,21676,602,8880,49698,5938,2141,3100,495,777,1893,1755,690,2683,4035,12,749,156,3818,4617,4822,2596,3636,134,1527,4253,250,3801,592,2245,16618,140,6,2799
2020-05-12T00:00:00.000,165738,2007,22573,602,9500,51769,6479,2243,3204,534,780,1969,1828,744,2713,4219,12,792,156,3919,4709,4880,2635,3673,134,1561,4308,250,3961,644,2676,17276,140,6,2842
2020-05-13T00:00:00.000,171779,2437,23234,631,9825,53683,6894,2341,3241,557,801,1971,1943,744,2798,4301,12,829,156,4155,4805,5110,2723,3875,134,1591,4374,250,4084,709,2876,17689,140,6,2880
2020-05-14T00:00:00.000,177050,2446,23733,631,10370,54780,7043,2661,3387,588,840,2005,2033,744,2971,4607,12,855,165,4320,4959,5337,2853,4004,134,1649,4435,293,4317,719,3079,18016,140,6,2918
2020-05-15T00:00:00.000,183112,2849,24478,641,10954,56352,7074,2946,3415,635,852,2062,2038,746,3078,4789,12,934,166,4423,5121,5619,2973,4132,134,1710,4474,293,4522,722,3196,18678,140,6,2948
